Beastie Boys,1992,what'cha 0.30085703964575855,away 0.16993442250425,is 0.16410383980677742,up 0.13439441740482957,wella 0.12745081687818752,groove 0.10940255987118494,c'mon 0.10940255987118494,than 0.10940255987118494,skills 0.084967211252125,commercial 0.084967211252125
Beastie Boys,1994,tough 0.22858115572594656,attack 0.19621187362520848,out 0.1716853894220574,together 0.17143586679445993,heart 0.15758907475094253,sabotage 0.13333900750680214,is 0.12263242101575529,rhymes 0.11611826560595766,down 0.11503914574576575,something 0.11429057786297328
Beastie Boys,1998,intergalactic 0.24827934224892118,planetary 0.217244424467806,mister 0.217244424467806,movin 0.1891872922518883,brown 0.1862095066866909,remote 0.17982051314557843,bgirls 0.15517458890557573,weepin 0.15517458890557573,bboys 0.15517458890557573,windowsill 0.12413967112446059
Beastie Boys,2004,you...for 0.4182494275554329,huh 0.31870342481325986,brouhaha 0.18298412455550186,difference 0.15684353533328732,we 0.15684353533328732,hutton 0.13070294611107278,deal 0.11780386426216259,fresh...fresh...fresh...for 0.10456235688885822,staten 0.10456235688885822,middle-eastern 0.10456235688885822
Beastie Boys,2011,balloon 0.5335321215527384,danger 0.34146055779375256,noise 0.2987779880695335,wanna 0.12080286704637973,pop 0.11151033881204284,competition 0.10991492649685188,nas 0.10670642431054768,donkey 0.10670642431054768,ego 0.08536513944843814,ad-rock 0.06869682906053241
Busta Rhymes,1996,yah 0.37782301833729853,da 0.2374667675910632,oww 0.22412967015053153,rrrrrroaw 0.17704629552864734,zhane 0.17432307678374676,hah 0.17368107404329777,tonight 0.1619241507159851,rrrrrrroaw 0.15934166597578261,whinin 0.15934166597578261,influence 0.15934166597578261
Busta Rhymes,1997,disaster 0.27310918064068385,strikes 0.25610321986291446,ta 0.19207741489718586,hit'em 0.12805160993145723,squad 0.11053874505550113,ark 0.09603870744859293,you'all 0.09603870744859293,afraid 0.09603870744859293,aeiyo 0.09103639354689462,kiss 0.08103176574349802
Busta Rhymes,1998,rowdy 0.44278157859939576,gonna 0.26993811199632,scream 0.2197604922002431,la 0.1914693043697426,mystikal 0.18232182648210415,event 0.15627585127037497,to 0.14559201089419715,off 0.14559201089419715,bus 0.13078129021776838,extinction 0.1302298760586458
Busta Rhymes,2000,bladow 0.545706795885711,whoop 0.19843883486753128,banging 0.09921941743376564,rulership 0.09921941743376564,motherfuckers 0.09921941743376564,blau 0.09921941743376564,sometin 0.09921941743376564,expressway 0.07441456307532424,roc 0.07441456307532424,marci 0.07441456307532424
Busta Rhymes,2001,genesis 0.4115814225532466,shut 0.25095120685210015,muh'fucka 0.2315718438414366,wifey 0.16463256902129864,rise 0.16180527959349086,truck 0.10366766034086992,yea 0.09512153398460724,courvoisier 0.09410670256953754,clive 0.08683944144053872,motherfuckin 0.0784222521412813
